,ForStrat_terrestrial,ForStrat_aquatic,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,female_maturity_d,weaning_d,litters_or_clutches_per_y,longevity_y,adult_svl_cm,development_d,log_litterclutch_size_n,log_birthhatching_weight_g,log_weaning_weight_g,log_male_body_mass_g,log_range_size,X2.1_AgeatEyeOpening_d,X9.1_GestationLen_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X6.2_TrophicLevel,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.6_GR_MinLong_dd,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,log_HomeRange_km2,log_HuPopDen_Mean_n.km2,log_NeonateHeadBodyLen_mm,Cingulata,Didelphimorphia,Erinaceomorpha,Perissodactyla,Pholidota,Primates,Rodentia,Soricomorpha,AA_83_Y,AA_30_negative
39,1.0,0.0,0.0,0.0,1.0,0.32324984516548927,0.29082546032699386,0.19210526315789475,0.5642857142857142,0.08425262206132127,0.33378174803911215,0.009110877031836577,0.5527001871104157,0.4111098593146094,0.5122922458948558,0.5898360337715809,0.3221578947368421,0.32622487033306186,0.40625,0.2800000000000001,0.5,0.477144696603895,0.44809144295302017,0.8477510782501539,0.8889507494646682,0.9345339652448658,0.9164782446275141,0.5117817205065696,0.7079328294264252,0.4962488404518599,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
52,1.0,0.0,1.0,1.0,1.0,0.05904705919402077,0.04904014600105379,0.3026315789473684,0.24761904761904763,0.19789895582142733,0.4338412278409944,0.0799153403376905,0.6330153425218392,0.559905187794809,0.6235099874416882,0.5366215468675704,0.2746315789473684,0.4233357623558661,0.37609375,0.16,0.0,0.5874778689843875,0.46476510067114096,0.7764941466420209,0.5947323340471091,0.8551026856240127,0.6157370087100136,0.6489801269938162,0.7624993038194537,0.597005728148203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
22,1.0,0.0,0.0,0.0,1.0,0.0066178664716228745,0.008721229794989044,0.4984069221925605,0.058068777777777775,0.017767207235540133,0.1975326742625094,0.27418683644211517,0.3625990671652789,0.15123579562203487,0.16218533064604135,0.3523817736386934,0.0,0.20949663530058726,0.015625,0.4800000000000001,0.7,0.09391598261709319,0.1980914429530201,0.6065003080714725,0.04783725910064239,0.6564296998420222,0.14380370028115844,0.2512820112268036,0.47190827821305864,0.32118409526431047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,1.0,0.0,1.0,1.0,0.0,0.26313836431773097,0.36143809533324844,0.21052631578947367,0.6206349206349207,0.23748964711285117,0.2114868282812561,0.32170159211730676,0.6363893879565113,0.6266490143263586,0.6673484597930814,0.7413565292963722,0.0,0.2140040293197308,0.12578125,0.2,1.0,0.4766618380814421,0.25398489932885904,0.5005237215033886,0.2862526766595289,0.9005371248025277,0.4374995903868715,0.7755600721298846,0.48387620700492895,0.6160840573619486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
19,1.0,0.0,1.0,0.0,0.0,0.06245866705856419,0.30428466592406833,0.2789473684210526,0.4302909999999999,0.006343516613312632,0.38714680393344936,0.009110877031836577,0.3397609608323548,0.1386674566040249,0.14318608444057207,0.759631035777409,0.013157894736842105,0.42194264649149127,0.009375,0.2,1.0,0.5533558667310478,0.19043624161073824,0.21287738755391244,0.5079657387580301,0.8306161137440758,0.6570194582620608,0.43610622488520556,0.46224856319224944,0.2996813380660365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
57,1.0,0.0,1.0,1.0,1.0,0.0690850592570043,0.04119822701231776,0.2789473684210526,0.14444444444444443,0.06423212624848895,0.059718832861756714,0.928473401912971,0.3496445304392086,0.24721458437205202,0.3864322749539849,0.6621055823795614,0.7652631578947368,0.06217583265463587,0.032968750000000005,0.6200000000000001,1.0,0.8561081603090293,0.868498322147651,0.5252926678989525,0.1684368308351178,0.34894154818325435,0.1802756532510175,0.5214506189635324,0.6329200554023039,0.32067689987546677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
82,1.0,0.0,1.0,0.0,0.0,0.12174809179126288,0.01920474489252714,0.33152344262836314,0.1111111111111111,0.008398458614808268,0.20036910830326918,0.009110877031836577,0.3320812119782818,0.136331629089745,0.1485124956070889,0.728116810266096,0.21315789473684213,0.20465943675253978,0.032968750000000005,0.20000000000000004,0.5,0.4851118622243682,0.31543624161073824,0.2554220579174368,0.6110064239828694,0.9134597156398104,0.7522201031569704,0.34457766306923276,0.4275221174887743,0.2593478813991055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
17,1.0,0.0,1.0,0.0,0.0,0.08879521430146017,0.14013986025379305,0.21052631578947367,0.26428571428571423,0.0818215363282475,0.2626283401799959,0.634292307202777,0.4612685891222633,0.4376582640029545,0.48622628195079287,0.7620443825389907,0.0,0.2604483689828111,0.0,0.2,0.5,0.655721873491067,0.2225251677852349,0.2196549599507085,0.5177730192719485,0.8582938388625593,0.6729976471821894,0.3450699712572419,0.4710270477055679,0.4857932769705726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,1.0,0.0,1.0,0.0,0.0,0.0062762772534982105,0.002791272722846766,0.9736842105263157,0.09365079365079365,0.009060507320507515,0.023888511504060753,0.6716019399334796,0.2567779378484375,0.0660377086015317,0.11373587983814001,0.6593686044003553,0.3421052631578947,0.02291139783102577,0.0290625,0.2,0.5,0.738532110091743,0.7231543624161074,0.20714725816389395,0.2267237687366167,0.5586729857819905,0.356002962322146,0.0850671236542806,0.5222646155911298,0.20300532376911595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
60,1.0,0.0,1.0,0.0,0.0,0.052040141502996975,0.0065888411912691965,0.21052631578947367,0.42857142857142855,0.0004824646438294101,0.09185460245812788,0.009110877031836577,0.2620099690262511,0.043818010174537084,0.06273005438117096,0.7247537639192034,0.013157894736842105,0.10139740237472675,0.0,0.25999999999999995,1.0,0.4350355085938862,0.5553476972602002,0.6001411967252128,0.588253497568137,0.7223447269011217,0.47210946354442107,0.43610622488520556,0.2462987486315375,0.20497122711599103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
